initial_r_1,initial_r_2,initial_r_3,initial_r_4,initial_r_5,r_1,r_2,r_3,r_4,r_5,ED_1,ED_2,ED_3,ED_4,ED_5,initial_a_1,initial_a_2,initial_a_3,initial_a_4,initial_a_5,initial_a_6,initial_a_7,initial_a_8,initial_a_9,initial_a_10,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,EA_1,EA_2,EA_3,EA_4,EA_5,EA_6,EA_7,EA_8,EA_9,EA_10,ED_vec_max,EA_vec_max,Algo,Converged,Iterations
0.01,0.01,0.01,0.01,0.01,2.978411232260272,2.987053676039566,2.9930514215961646,2.9968737137266297,2.9990105777635914,-2.5934809855243657e-13,-6.821210263296962e-13,-4.547473508864641e-13,-3.552713678800501e-15,-1.7763568394002505e-13,3.0,3.0,3.0,3.0,3.0,0.6,3.0,3.0,3.0,3.0,13.519164739366822,15.240680757318362,17.265965702965232,19.630392037650168,22.373071206111863,3.4733167846990374,3.8591781936416067,4.338348635429522,4.915105659617831,5.594792438654229,2.362554596402333e-13,1.971756091734278e-13,1.3500311979441904e-13,2.4868995751603507e-13,-2.8421709430404007e-13,5.59996493620929e-13,-3.5438318946034997e-13,-4.796163466380676e-14,1.3322676295501878e-13,1.6608936448392342e-13,6.821210263296962e-13,5.59996493620929e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602723,2.9870536760395616,2.993051421596164,2.9968737137266284,2.9990105777635914,1.0658141036401503e-13,4.973799150320701e-14,3.161915174132446e-13,2.3092638912203256e-13,-3.161915174132446e-13,3.0,3.0,3.0,3.0,3.0,0.6,1.5,1.5,1.5,1.5,13.519164739367781,15.240680757318165,17.265965702966042,19.630392037649603,22.37307120611216,3.473316784699549,3.859178193641425,4.3383486354302505,4.915105659617349,5.59479243865449,-2.7355895326763857e-13,1.3855583347321954e-13,-2.2026824808563106e-13,2.1316282072803006e-13,-5.684341886080801e-13,1.5898393712632242e-13,-2.149391775674303e-13,-6.59916565837193e-13,4.698463840213662e-13,-9.14823772291129e-14,3.161915174132446e-13,6.59916565837193e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260275,2.9870536760395607,2.9930514215961628,2.9968737137266297,2.9990105777635914,1.8474111129762605e-13,-2.5579538487363607e-13,1.6697754290362354e-13,7.460698725481052e-14,-3.268496584496461e-13,3.0,3.0,3.0,3.0,3.0,0.6,1.0,1.0,1.0,1.0,13.519164739366875,15.240680757318415,17.265965702965637,19.630392037650694,22.373071206111447,3.473316784700126,3.85917819364073,4.338348635429355,4.915105659618124,5.594792438654673,5.151434834260726e-13,-2.3447910280083306e-13,-2.6645352591003757e-13,-7.815970093361102e-14,7.105427357601002e-15,-4.574118861455645e-13,4.5208281562736374e-13,1.2612133559741778e-13,-1.1013412404281553e-13,-3.090860900556436e-13,3.268496584496461e-13,5.151434834260726e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602763,2.987053676039562,2.9930514215961628,2.9968737137266297,2.9990105777635914,-2.4868995751603507e-14,-1.7053025658242404e-13,-2.8066438062523957e-13,1.0658141036401503e-13,-1.1723955140041653e-13,3.0,3.0,3.0,3.0,3.0,0.6,0.75,0.75,0.75,0.75,13.519164739367602,15.240680757318254,17.26596570296533,19.630392037650246,22.373071206111963,3.473316784699989,3.8591781936411707,4.338348635429014,4.915105659618324,5.594792438654734,-2.1316282072803006e-14,-1.0658141036401503e-14,-2.5579538487363607e-13,2.2382096176443156e-13,-3.375077994860476e-13,-2.8199664825478976e-13,2.1760371282653068e-14,3.934630399271555e-13,-3.4638958368304884e-13,-3.268496584496461e-13,2.8066438062523957e-13,3.934630399271555e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602705,2.9870536760395576,2.993051421596164,2.9968737137266293,2.9990105777635914,1.5987211554602254e-13,-5.222489107836736e-13,-2.7000623958883807e-13,4.511946372076636e-13,3.268496584496461e-13,3.0,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,0.6,13.519164739367788,15.240680757317394,17.265965702966128,19.630392037650168,22.37307120611232,3.473316784699235,3.859178193640027,4.338348635429626,4.915105659618366,5.594792438655342,-3.7125857943465235e-13,1.0302869668521453e-13,-5.009326287108706e-13,2.984279490192421e-13,-2.948752353404416e-13,4.591882429849647e-13,9.974243653232406e-13,-8.615330671091215e-14,-3.872457909892546e-13,-8.348877145181177e-13,5.222489107836736e-13,9.974243653232406e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602736,2.9870536760395616,2.9930514215961628,2.9968737137266297,2.9990105777635914,6.394884621840902e-13,-3.907985046680551e-13,-1.7763568394002505e-14,-1.0658141036401503e-13,-2.3092638912203256e-13,3.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,13.519164739367607,15.240680757317373,17.265965702965115,19.630392037650726,22.373071206111796,3.4733167846999975,3.859178193641184,4.338348635429361,4.915105659617869,5.594792438654589,6.927791673660977e-14,5.950795411990839e-13,8.526512829121202e-14,-1.5631940186722204e-13,-1.9539925233402755e-13,-2.5002222514558525e-13,-5.861977570020827e-14,7.72715225139109e-14,1.3322676295501878e-13,-1.8918200339612667e-13,6.394884621840902e-13,5.950795411990839e-13,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.978411232260275,2.987053676039563,2.9930514215961646,2.9968737137266293,2.9990105777635914,-2.6645352591003757e-13,-7.105427357601002e-15,-4.121147867408581e-13,-1.2079226507921703e-13,7.105427357601002e-15,3.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,13.519164739367932,15.240680757318374,17.265965702965538,19.63039203764997,22.37307120611221,3.4733167846994886,3.859178193641453,4.338348635429761,4.915105659617622,5.594792438654791,-4.2810199829546036e-13,-7.105427357601002e-15,-1.4210854715202004e-13,6.394884621840902e-14,-5.080380560684716e-13,2.0383694732117874e-13,-2.327027459614328e-13,-2.7977620220553945e-13,2.4780177909633494e-13,-3.6415315207705135e-13,4.121147867408581e-13,5.080380560684716e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602763,2.9870536760395603,2.993051421596163,2.9968737137266297,2.9990105777635914,-5.790923296444817e-13,8.526512829121202e-14,-1.7763568394002505e-13,2.5224267119483557e-13,-2.3447910280083306e-13,3.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,13.519164739366683,15.240680757318422,17.265965702965385,19.630392037650754,22.373071206111586,3.473316784699809,3.8591781936407155,4.338348635429228,4.915105659618137,5.594792438654542,5.435651928564766e-13,-1.794120407794253e-13,-1.0302869668521453e-13,-4.618527782440651e-14,-4.618527782440651e-14,-1.9229062786507711e-13,4.849454171562684e-13,2.291500322826323e-13,-9.947598300641403e-14,-1.5631940186722204e-13,5.790923296444817e-13,5.435651928564766e-13,LBFGS,1.0,3.0
0.01,0.01,0.01,0.01,0.01,2.978411232260271,2.9870536760395616,2.993051421596163,2.9968737137266297,2.999010577763591,-4.902744876744691e-13,-8.526512829121202e-14,3.126388037344441e-13,1.7408297026122455e-13,3.872457909892546e-13,3.0,6.0,6.0,6.0,6.0,3.0,1.5,1.5,1.5,1.5,13.519164739367085,15.240680757318422,17.26596570296575,19.630392037652015,22.37307120611087,3.47331678469914,3.8591781936412484,4.338348635429866,4.915105659617867,5.594792438654894,-3.197442310920451e-14,-1.1546319456101628e-13,-2.2382096176443156e-13,-1.0693668173189508e-12,3.375077994860476e-13,4.583000645652646e-13,-3.8191672047105385e-14,-3.4638958368304884e-13,2.3003821070233244e-13,-5.906386491005833e-13,4.902744876744691e-13,1.0693668173189508e-12,LBFGS,1.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602723,2.987053676039563,2.9930514215961646,2.9968737137266306,2.9990105777635914,-2.7711166694643907e-13,-3.481659405224491e-13,-2.1671553440683056e-13,3.907985046680551e-14,-2.6645352591003757e-13,3.0,6.0,6.0,6.0,6.0,3.0,1.2,1.2,1.2,1.2,13.519164739367103,15.240680757318172,17.265965702965683,19.63039203765118,22.373071206111536,3.473316784699221,3.8591781936412337,4.338348635429861,4.9151056596188685,5.594792438654766,-4.796163466380676e-14,-7.105427357601002e-15,-2.2737367544323206e-13,-2.0605739337042905e-13,-1.7408297026122455e-13,3.7347902548390266e-13,-6.483702463810914e-14,-3.6415315207705135e-13,-7.673861546209082e-13,-4.2454928461665986e-13,3.481659405224491e-13,7.673861546209082e-13,LBFGS,0.0,1.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602763,2.9870536760395616,2.9930514215961654,2.9968737137266293,2.999010577763591,-2.6645352591003757e-13,-1.4210854715202004e-14,-2.7000623958883807e-13,-4.938272013532696e-13,6.075140390748857e-13,3.0,6.0,6.0,6.0,6.0,1.5,6.0,6.0,6.0,6.0,13.519164739366522,15.240680757316968,17.265965702966778,19.63039203765042,22.373071206111355,3.47331678470008,3.8591781936414797,4.338348635429922,4.915105659616894,5.59479243865455,7.673861546209082e-13,1.0089706847793423e-12,-6.643574579356937e-13,-3.055333763768431e-13,1.2789769243681803e-13,-4.4586556668946287e-13,-3.503863865716994e-13,-2.6556534749033744e-13,9.956480084838404e-13,-1.7763568394002505e-13,6.075140390748857e-13,1.0089706847793423e-12,LBFGS,1.0,5.0
0.01,0.01,0.01,0.01,0.01,2.9784112322602616,2.987053676039563,2.993051421596162,2.9968737137266293,2.9990105777635914,3.694822225952521e-13,-9.237055564881302e-14,2.877698079828406e-13,1.5276668818842154e-13,-3.801403636316536e-13,3.0,6.0,6.0,6.0,6.0,1.5,3.0,3.0,3.0,3.0,13.519164739365783,15.24068075732,17.26596570296544,19.630392037650928,22.37307120611116,3.4733167846983717,3.8591781936410436,4.338348635429045,4.915105659617516,5.59479243865458,7.212008767965017e-13,-9.36140054363932e-13,-1.0658141036401503e-13,-2.7711166694643907e-13,3.410605131648481e-13,1.1404210908949608e-12,3.4772185131259903e-13,4.298783551348606e-13,5.089262344881718e-13,-2.0516921495072893e-13,3.801403636316536e-13,1.1404210908949608e-12,LBFGS,1.0,2.0
